"UWI","WELLBORE","TOP_MD","BASE_MD","TOP_TVD","BASE_TVD","STRAT_UNIT_CD","STRAT_UNIT_NM","X_TOP","Y_TOP","X_BASE","Y_BASE","WELL_UWI","WELL_NAME","CRS","DEPTH_UNITS"
"1000","ACA-11","0","23","-29.3","-6.3","NUCT","QUATER. UNDIFF.","707310","5702632","707310","5702632","1000","ACA-11","ED50 / UTM zone 31N ","M"
"1000","ACA-11","23","230","-6.3","200.7","NUBA","Breda Formation","707310","5702632","707310","5702632","1000","ACA-11","ED50 / UTM zone 31N ","M"
"1000","ACA-11","230","395","200.7","365.7","NMVFO","Veldhoven Clay Member","707310","5702632","707310","5702632","1000","ACA-11","ED50 / UTM zone 31N ","M"
"1000","ACA-11","395","457","365.7","427.7","NMRFC","Rupel Clay Member","707310","5702632","707310","5702632","1000","ACA-11","ED50 / UTM zone 31N ","M"
"1000","ACA-11","457","479","427.7","449.7","NMRFV","VESSEM MB","707310","5702632","707310","5702632","1000","ACA-11","ED50 / UTM zone 31N ","M"
"1000","ACA-11","479","530","449.7","500.7","NLLFC","Landen Clay Member","707310","5702632","707310","5702632","1000","ACA-11","ED50 / UTM zone 31N ","M"
"1000","ACA-11","530","553","500.7","523.7","NLLFG","Gelinden Member","707310","5702632","707310","5702632","1000","ACA-11","ED50 / UTM zone 31N ","M"
"1000","ACA-11","553","577","523.7","547.7","NLLFS","Heers Member","707310","5702632","707310","5702632","1000","ACA-11","ED50 / UTM zone 31N ","M"
"1000","ACA-11","577","587","547.7","557.7","NLLFL","Swalmen Member","707310","5702632","707310","5702632","1000","ACA-11","ED50 / UTM zone 31N ","M"
"1000","ACA-11","587","619","557.7","589.7","CKHM","Houthem Formation","707310","5702632","707310","5702632","1000","ACA-11","ED50 / UTM zone 31N ","M"
"1000","ACA-11","619","646","589.7","616.7","CKMA","Maastricht Formation","707310","5702632","707310","5702632","1000","ACA-11","ED50 / UTM zone 31N ","M"
"1000","ACA-11","646","714","616.7","684.7","CKGP","Gulpen Formation","707310","5702632","707310","5702632","1000","ACA-11","ED50 / UTM zone 31N ","M"
"1000","ACA-11","714","815","684.7","785.7","RBSHN","Nederweert Sandstone Member","707310","5702632","707310","5702632","1000","ACA-11","ED50 / UTM zone 31N ","M"
"1000","ACA-11","815","835","785.7","805.7","ZEUC","Zechstein Upper Claystone Formation","707310","5702632","707310","5702632","1000","ACA-11","ED50 / UTM zone 31N ","M"
"1000","ACA-11","835","844.1","805.7","814.8","ZEZ3C","Z3 Carbonate Member","707310","5702632","707310","5702632","1000","ACA-11","ED50 / UTM zone 31N ","M"
"1000","ACA-11","844.1","845","814.8","815.7","ZEZ3G","Grey Salt Clay Member","707310","5702632","707310","5702632","1000","ACA-11","ED50 / UTM zone 31N ","M"
"1000","ACA-11","845","875","815.7","845.7","ZEZ2","Z2 (Stassfurt) Formation","707310","5702632","707310","5702632","1000","ACA-11","ED50 / UTM zone 31N ","M"
"1000","ACA-11","875","903.65","845.7","874.35","ZEZ1","Z1 (Werra) Formation","707310","5702632","707310","5702632","1000","ACA-11","ED50 / UTM zone 31N ","M"
"1000","ACA-11","903.65","915.95","874.35","886.65","ROSL","Slochteren Formation","707310","5702632","707310","5702632","1000","ACA-11","ED50 / UTM zone 31N ","M"
"1000","ACA-11","915.95","1108","886.65","1078.7","DCCB","Baarlo Formation","707310","5702632","707310","5702632","1000","ACA-11","ED50 / UTM zone 31N ","M"
"1000","ACA-11","1108","1201","1078.7","1171.7","UNDEF","UNKNOWN","707310","5702632","707310","5702632","1000","ACA-11","ED50 / UTM zone 31N ","M"
